slug,name,brandSlug,price,thickness,length,width,weight,material,features,imageUrl,shopifyId
liforme-liforme-majestic-carpet-yoga-mat,"Liforme Majestic Carpet Yoga Mat",liforme,195,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Majestic-Carpet-Maroon_Yoga_Mat_Front-View.png?v=1744293861,7772324528303
liforme-liforme-mystique-yoga-mat,"Liforme Mystique Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Mystique-Black_Yoga_Mat_2.png?v=1752495937,14934739550584
liforme-liforme-mother-earth-yoga-mat,"Liforme Mother Earth Yoga Mat",liforme,190,,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Yoga-Mats_0001s_0004_Mother-Earth.png?v=1718719074,7772435906735
liforme-liforme-rainbow-yoga-mat,"Liforme Rainbow Yoga Mat",liforme,190,,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Rainbow_Yoga_Mat_Blue_Front-View.png?v=1765283193,7769350963375
liforme-liforme-expressions-yoga-mat,"Liforme Expressions Yoga Mat",liforme,170,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Happiness-Orange_Yoga_Mat_Front-View_3ef77ee9-5761-43ec-b89a-8391962842ef.png?v=1756918348,7769271992495
liforme-liforme-paisley-passion-yoga-mat,"Liforme Paisley Passion Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Yoga-Mats-Hero_0008_Paisley-Maroon-Front-View.png?v=1764257989,7772433055919
liforme-liforme-radiant-sun-yoga-mat,"Liforme Radiant Sun Yoga Mat",liforme,190,,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Radiant_Yoga_Mat_Yellow_Front-View.png?v=1764370355,7769350865071
liforme-liforme-in-line-yoga-mat,"Liforme In Line Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_In-Line-Black_Yoga_Mat_1.png?v=1752495987,14934740730232
liforme-liforme-tantalising-terracotta-yoga-mat,"Liforme Tantalising Terracotta Yoga Mat",liforme,190,4,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/v2_Liforme_Tantaslising_Terracotta_Yoga_Mat_2_fb7e57d2-5150-4c1b-9943-65d61153033c.png?v=1740066970,8053955068079
liforme-liforme-dragon-phoenix-yoga-mat,"Liforme Dragon & Phoenix Yoga Mat",liforme,200,,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Zodiac-Phoenix_Yoga_Mat_Font-View1_cf2c63b9-b8e5-4877-96f2-d71ee14c3d8b.png?v=1762077977,14943989956984
liforme-liforme-zodiac-yoga-mat,"Liforme Zodiac Yoga Mat",liforme,190,,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Zodiac-Tiger_Yoga_Mat_Font-View2.png?v=1766482639,7769345917103
liforme-liforme-evolve-yoga-mat,"Liforme Evolve Yoga Mat",liforme,160,,,,,PVC,"Eco-Friendly; Non-Slip; Extra Wide; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Evolve-Grey_Yoga_Mat_Front_View.png?v=1711461117,7769350668463
liforme-liforme-mindful-garden-xl-yoga-mat,"Liforme Mindful Garden XL Yoga Mat",liforme,220,4,,,,PVC,"Eco-Friendly; Non-Slip; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/XL-Mat-Hero.png?v=1737994129,14867347341688
liforme-liforme-cosmic-moon-xl-yoga-mat,"Liforme Cosmic Moon XL Yoga Mat",liforme,220,4,,,,PVC,"Eco-Friendly; Non-Slip; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/XL-Mat-Hero_0006_Cosmic-Purple-front-view.png?v=1736855108,14867341443448
liforme-liforme-blossoming-lotus-xl-yoga-mat,"Liforme Blossoming Lotus XL Yoga Mat",liforme,220,4,,,,PVC,"Eco-Friendly; Non-Slip; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/XL-Mat-Hero_0007_Lotus-Purple-front-view_3ac57759-8597-4e0a-bed3-2aca2053b353.png?v=1756308892,14867343049080
liforme-liforme-xl-mountain-yoga-mat,"Liforme XL Mountain Yoga Mat",liforme,220,4,,,,PVC,"Eco-Friendly; Non-Slip; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/XL-Mat-Hero_0008_Liforme_Mountain_XL_Yoga_Mat_Front-View.png?v=1736855292,7772436267183
liforme-liforme-xl-yoga-mat,"Liforme XL Yoga Mat",liforme,200,4,,,,PVC,"Eco-Friendly; Non-Slip; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Purple_XL_Yoga_Mat_Frontview_268a2bfa-4247-4f57-8aee-a0ab962f4eab.png?v=1764692529,7772436496559
liforme-liforme-classic-travel-yoga-mat,"Liforme Classic Travel Yoga Mat",liforme,130,2,,,,PVC,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Grey_Travel_Yoga_Mat_Front-View.png?v=1740421097,7739030765743
liforme-liforme-cosmic-moon-travel-yoga-mat,"Liforme Cosmic Moon Travel Yoga Mat",liforme,155,4,,,,PVC,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Cosmic-Moon-Dusk-Blue_Travel_Yoga_Mat_Front-View.png?v=1764850505,7772468838575
liforme-liforme-mindful-garden-travel-yoga-mat,"Liforme Mindful Garden Travel Yoga Mat",liforme,155,2,,,,PVC,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Mindful-Garden_Travel_Yoga-Mat_Front_View_14430e24-b62a-4dde-9962-e123a1296efb.png?v=1746705734,7765817229487
liforme-liforme-expressions-travel-yoga-mat,"Liforme Expressions Travel Yoga Mat",liforme,135,2,,,,PVC,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Happiness-Orange_Travel_Yoga_Mat_Front-View.png?v=1711472988,7769345294511
liforme-liforme-black-gold-travel-yoga-mat,"Liforme Black & Gold Travel Yoga Mat",liforme,165,2,,,,PVC,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Black-_-Gold_Travel_Yoga_Mat_Front_View.png?v=1753715509,7772452782255
liforme-liforme-rainbow-travel-yoga-mat,"Liforme Rainbow Travel Yoga Mat",liforme,155,,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_Rainbow_Travel_Yoga_Mat_Blue_Front-View.png?v=1764755567,7772470182063
liforme-liforme-white-magic-travel-yoga-mat,"Liforme White Magic Travel Yoga Mat",liforme,165,2,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/Liforme_White_Magic_Travel_Yoga_Mat_Front-View.png?v=1711474262,7772479881391
liforme-liforme-classic-yoga-mat-travel-mat-bundle,"Liforme Classic Yoga Mat & Travel Mat Bundle",liforme,246,,,,,,"Lightweight",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/LiformeClassic_Yoga_Travel_Bundle.png?v=1753197702,7794263818415
liforme-liforme-classic-yoga-mat-and-yoga-pad-bundle,"Liforme Classic Yoga Mat and Yoga Pad Bundle",liforme,187,,,,,,"Extra Thick; Lightweight",https://cdn.shopify.com/s/files/1/0259/3665/8531/files/LiformeClassic_Yoga_Pad_Bundle.png?v=1753197591,7806773133487
