slug,name,brandSlug,price,thickness,length,width,weight,material,features,imageUrl,shopifyId
yogamatters-yoga-design-lab-1mm-travel-mat-breathe,"Yoga Design Lab Travel Mat 1.5mm - Breathe",yogamatters,,1.5,,,,Natural Rubber,"Eco-Friendly; Reversible; Non-Slip; Lightweight; Alignment Marks; Premium",,4538723074115
yogamatters-yogamatters-signature-studio-yoga-mat-long-box-of-6-copy,"Yogamatters Signature Studio Yoga Mat - Long - Box of 7",yogamatters,,5.5,,,,,"Reversible; Non-Slip; Alignment Marks; Closed-Cell",,8086662774959
yogamatters-yogamatters-restore-organic-cotton-yoga-nidra-mat,"Yogamatters Organic Cotton Restorative Yoga Mat",yogamatters,,,,,,Cotton,"Eco-Friendly",,6878030987439
yogamatters-manduka-shala-yoga-rug,"Manduka Shala Yoga Rug",yogamatters,,5,180,66,1.1,Cotton,"Eco-Friendly",,15001854312833
yogamatters-jade-yoga-organic-cotton-mysore-yoga-rug,"Jade Yoga Organic Cotton Mysore Yoga Rug",yogamatters,,3,,,1.13,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight",,7565034684591
yogamatters-manduka-pro-extra-long-and-wide-yoga-mat-black,"Manduka PRO Extra Long and Wide Yoga Mat -  Black",yogamatters,,6,,,,,"Eco-Friendly; Extra Thick; Extra Long; Extra Wide; Alignment Marks; Closed-Cell",,7022080753839
yogamatters-new-bundle-yogamatters-studio-yoga-mat-box-of-8,"Yogamatters Signature Studio Yoga Mat - Box of 9",yogamatters,,5.5,,,,,"Reversible; Non-Slip; Alignment Marks; Closed-Cell",,7308682002607
yogamatters-yogamatters-sticky-yoga-mat-box-of-12-mats,"Yogamatters Sticky Yoga Mat - Box of 12",yogamatters,,5,,,,,"Eco-Friendly; Extra Thick; Non-Slip; Alignment Marks",,6961121886383
yogamatters-new-bundle-yogamatters-eco-rise-yoga-mat-box-of-6,"Yogamatters Eco Rise Yoga Mat - Box of 6",yogamatters,,3,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks",,7308623446191
yogamatters-new-bundle-yogamatters-eco-everyday-yoga-mat-box-of-6,"Yogamatters Eco Everyday Yoga Mat - Box of 6",yogamatters,,4,,,,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Alignment Marks",,7311006466223
yogamatters-new-bundle-yogamatters-eco-travel-yoga-mat-box-of-12,"Yogamatters Eco Travel Yoga Mat - Box of 12",yogamatters,,1,,,0.75,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks; Antimicrobial",,7350085845167
yogamatters-yoga-design-lab-cork-mat-mandala-black,"Yoga Design Lab Cork Mat 3.5mm - Mandala Black",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks; Antimicrobial; Premium",,4515345334339
yogamatters-yoga-design-lab-studio-mat-3-5mm-celestial,"Yoga Design Lab Studio Mat 3.5mm - Celestial",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Premium",,7027375800495
